time,coin,stablecoin,value
2021-03-21,ALGO,0,-0.0242588223934244
2021-03-22,ALGO,0,-0.0674215893603216
2021-03-23,ALGO,0,0.0054200674693392
2021-03-24,ALGO,0,-0.0767448482912695
2021-03-25,ALGO,0,0.0164017183838009
2021-03-26,ALGO,0,0.0675244893161333
2021-03-27,ALGO,0,0.0360161896247072
2021-03-28,ALGO,0,0.0627033611255814
2021-03-29,ALGO,0,0.127638863129202
2021-03-30,ALGO,0,-0.0564873291742128
2021-03-31,ALGO,0,0.031206098303627
2021-04-01,ALGO,0,-0.0334728163123179
2021-04-02,ALGO,0,0.027603393739512
2021-04-03,ALGO,0,-0.0716770129895232
2021-04-04,ALGO,0,0.0349550150335767
2021-04-05,ALGO,0,0.0678726513993381
2021-04-06,ALGO,0,-0.0021420929290541
2021-04-07,ALGO,0,-0.0718561518969666
2021-04-08,ALGO,0,0.0369435151916843
2021-04-09,ALGO,0,0.0306146358196069
2021-04-10,ALGO,0,-0.0014367818563628
2021-04-11,ALGO,0,0.0886874219168792
2021-04-12,ALGO,0,-0.0253178079842899
2021-04-13,ALGO,0,0.0226827603462848
2021-04-14,ALGO,0,-0.0349028716810602
2021-04-15,ALGO,0,0.071176278467895
2021-04-16,ALGO,0,-0.0415644244212505
2021-04-17,ALGO,0,0.118077716666325
2021-04-18,ALGO,0,-0.149740853483527
2021-04-19,ALGO,0,-0.120610437617061
2021-04-20,ALGO,0,0.0
2021-04-21,ALGO,0,-0.0654140651895878
2021-04-22,ALGO,0,-0.0386602766574942
2021-04-23,ALGO,0,0.0008565311016162
2021-04-24,ALGO,0,-0.035733649348396
2020-08-22,ATOM,0,0.136226241751532
2020-08-23,ATOM,0,0.283938502333449
2020-08-24,ATOM,0,-0.0392019603989699
2020-08-25,ATOM,0,0.0222994836540233
2020-08-26,ATOM,0,-0.0837548380490336
2020-08-27,ATOM,0,-0.0566629397945571
2020-08-28,ATOM,0,0.0376895214287907
2020-08-29,ATOM,0,-0.0396118067934819
2020-08-30,ATOM,0,0.0485545281474489
2020-08-31,ATOM,0,-0.0580830128610206
2020-09-01,ATOM,0,0.0030479380758561
2020-09-02,ATOM,0,-0.0830328332584098
2020-09-03,ATOM,0,-0.289035761460483
2020-09-04,ATOM,0,0.0981703695792557
2020-09-05,ATOM,0,-0.111707297174735
2020-09-06,ATOM,0,0.0530817673461852
2020-09-07,ATOM,0,-0.025594832740202
2020-09-08,ATOM,0,-0.0224143864461586
2020-09-09,ATOM,0,0.0731534009873858
2020-09-10,ATOM,0,-0.0001881290570875
2020-09-11,ATOM,0,0.0063766157552018
2020-09-12,ATOM,0,0.0479975346911015
2020-09-13,ATOM,0,-0.0562573901742682
2020-09-14,ATOM,0,0.0134808257615946
2020-09-15,ATOM,0,-0.0992420206269771
2020-09-16,ATOM,0,0.0508516277565014
2020-09-17,ATOM,0,-0.0117810119692932
2020-09-18,ATOM,0,-0.0189418483565944
2020-09-19,ATOM,0,-0.00585446307269
2020-09-20,ATOM,0,-0.0572894325102966
2020-09-21,ATOM,0,-0.134266776895928
2020-09-22,ATOM,0,0.0304297808624412
2020-09-23,ATOM,0,-0.0903037036509369
2020-09-24,ATOM,0,0.154113486440238
2020-09-25,ATOM,0,0.068352928613497
2020-09-26,ATOM,0,-0.0425777380765131
2020-09-27,ATOM,0,0.0266110123223315
2020-09-28,ATOM,0,0.0219927180150346
2020-09-29,ATOM,0,0.0951783369231787
2020-09-30,ATOM,0,0.0121690165917649
2020-10-01,ATOM,0,-0.0443248971199319
2020-10-02,ATOM,0,-0.0471964144394572
2020-10-03,ATOM,0,0.0213847164628631
